ObjID,q,e,inc,node,argPeri,epoch_MJD_TDB,t_p_MJD_TDB,FORMAT
1952 H1,1.283,0.9834,112.03,122.36,144.9,34195,2434172.22,COM
1952 M1,1.202,0.9998,45.55,188.64,96.58,34232,2434208.75,COM
1952 Q1,1.665,0.996,59.12,221.39,191.63,34343,2434382.92,COM
1953 G1,1.022,0.9975,93.86,275.89,85.74,34567,2434523.94,COM
1953 X1,0.072,1,13.57,115.25,94.07,34723,2434767.17,COM
1954 M1,2.061,0.9994,136.64,292.73,1.42,34948,2434760.55,COM
1955 L1,0.534,0.9892,86.5,48.94,32.51,35302,2435262.66,COM
1955 N1,1.427,0.9942,50.03,303.47,13.22,35335,2435300.04,COM
1957 P1,0.355,0.9993,93.96,68.32,40.32,36272,2436051.93,COM
1958 D1,1.323,0.9999,15.79,151.19,16.47,36319,2436309.8,COM
1958 R1,1.628,0.9998,61.26,323.78,100.74,36679,2436639.02,COM
1959 X1,1.253,1,19.64,100.62,84.69,37072,2436885.73,COM
1960 B1,1.171,0.9998,69.5,83.78,273.24,36988,2436839.21,COM
1961 O1,0.04,0.9999,24.21,298.94,270.7,37565,2437498,COM
1961 R1,2.133,0.9896,153.28,155.44,233.56,38161,2438008.72,COM
1961 T1,0.681,0.9922,155.71,247.36,126.59,37615,2437583.15,COM
1963 A1,0.632,0.9934,160.65,53.22,336.3,38145,2438109.97,COM
1963 F1,1.537,0.9979,86.22,43.47,146.62,38164,2438155.38,COM
1963 R1,0.005,0.9999,144.59,8.05,86.23,38327,2438265.47,COM
1964 L1,0.5,0.9959,161.83,309.87,58.42,38628,2438577.12,COM
1964 N1,0.822,0.9853,171.92,269.95,290.77,38604,2438608.72,COM
1964 P1,1.259,0.9965,67.97,280.45,20.69,38682,2438630.69,COM
1965 S1-A,0.008,0.9999,141.86,346.99,69.05,39040,2439054.68,COM
1966 P1,2.385,0.9995,40.26,156.05,154.49,39377,2439426.58,COM
1966 P2,2.019,0.9981,28.71,167.69,136.17,39381,2439233.28,COM
1967 C1,0.457,0.9999,106.47,200.52,144.29,39535,2439563.24,COM
1967 Y1,1.697,0.9992,129.32,255.32,70.86,39933,2439912.21,COM
1968 H1,0.68,0.9962,102.17,233.11,50.45,39993,2439992.77,COM
1968 U1,2.603,0.9999,135.13,209.22,101.49,40153,2439946.39,COM
1968 Y1,3.316,0.9953,45.23,16.11,82.58,40266,2440233.76,COM
1969 T1,0.473,0.9999,75.82,101.66,267.83,40607,2440576.77,COM
1969 Y1,0.538,0.9963,90.04,224.66,354.15,40688,2440665.55,COM
1970 K1,0.009,0.9999,138.95,336.82,61.1,40735,2440720.98,COM
1972 E1,0.927,0.9981,123.69,160.3,257.7,41431,2441404.2,COM
1972 F1,3.276,0.9979,175.61,24.75,128.7,41534,2440958.01,COM
1972 X1,4.861,0.9995,113.09,314.89,267.21,41860,2441670.48,COM
1973 D1,1.382,0.9987,121.6,164.82,74.86,41792,2441840.68,COM
1973 H1,2.384,0.9729,48.33,57.84,123.47,41832,2441753.03,COM
1974 C1,0.503,0.9997,61.28,143.73,333.13,42157,2442124.86,COM
1974 F1,3.011,0.9998,50.65,12.37,261.36,42514,2442646.66,COM
1974 O1,1.373,0.9794,173.16,165.74,176.76,42280,2442180.48,COM
1974 V2,0.865,0.9999,134.83,51.35,324.97,42370,2442383.02,COM
1975 T1,1.604,0.9975,91.61,278.68,246.24,42764,2442772.38,COM
1975 T2,0.838,0.9856,118.23,216.81,152.02,42716,2442700.86,COM
1976 D1,0.848,0.9934,46.83,160.79,313,42845,2442833.13,COM
1976 E1,0.678,0.9999,147.78,70.21,221.77,42849,2442833.56,COM
1976 J1,1.569,0.9997,38.81,81.41,193.27,42956,2443085.65,COM
1977 H1,1.118,1,43.19,20.14,249.36,43255,2443325.47,COM
1977 R1,0.991,0.9995,48.71,182.52,163.49,43448,2443458.07,COM
1977 V1,3.603,0.9994,168.55,5.29,318.18,43513,2443349.35,COM
1978 T1,0.37,0.9983,67.83,41.77,207.76,43796,2443766.35,COM
1978 T3,0.432,1,138.27,358.42,240.44,43800,2443780.58,COM
1979 S1,1.432,0.973,67.08,297.63,112.56,44179,2444163.84,COM
1979 Y1,0.545,0.988,148.6,103.22,257.61,44263,2444229.11,COM
1980 V1,1.519,0.9946,100.99,25.44,87.96,44618,2444583.15,COM
1980 Y1,0.26,0.9997,138.59,115.35,358.29,44630,2444603.04,COM
1980 Y2,1.657,0.9987,82.65,332,105.6,44661,2444631.82,COM
1981 H1,2.458,0.9989,160.66,24.26,189.85,44756,2444816.28,COM
1981 M1,2.334,0.9994,107.14,143.97,181.61,44823,2444689.15,COM
1982 M1,0.648,0.9994,84.49,326.26,33.82,45217,2445206.23,COM
1983 H1,0.991,0.9899,73.25,49.1,192.85,45467,2445475.75,COM
1983 J1,0.471,0.9999,96.62,83.04,82.17,45469,2445455.83,COM
1983 J2,1.417,0.9947,152.17,119.69,227.02,45484,2445353.15,COM
1983 N1,2.418,0.9994,138.83,171.8,265.59,45694,2445457.2,COM
1984 N1,0.291,0.9998,164.15,171.58,353.13,45956,2445924.64,COM
1984 S1,0.857,0.999,145.61,11.71,128.08,45966,2445987.49,COM
1984 U1,5.489,0.9944,179.21,238.3,182.82,46231,2445946.95,COM
1984 U2,1.215,0.9709,13.88,223.48,229.21,46068,2446069.39,COM
1984 V1,0.918,0.9992,65.71,331.17,82.74,46071,2446048.76,COM
1984 W2,4,0.9995,89.33,250.2,255.27,46479,2446336.9,COM
1985 R1,0.695,0.9999,79.93,358.4,87.03,46371,2446408.62,COM
1985 T1,1.317,0.9833,139.07,53.01,53,46415,2446418.71,COM
1986 E1,3.594,0.9468,159.81,294.84,123.57,46598,2446500.78,COM
1986 N1,2.642,0.9992,114.92,134.62,157.74,46809,2446556.95,COM
1986 V1,1.721,0.9999,160.58,74.8,70.23,46850,2446864.16,COM
1987 B1,0.87,0.9958,172.23,176.01,200.4,46852,2446871.85,COM
1987 B2,0.393,0.9952,40.86,97.7,195.27,46833,2446789.38,COM
1987 P1,0.869,0.9947,34.09,268.09,73.9,47128,2447106.77,COM
1987 T1,0.515,1,62.53,143.73,13.19,47092,2447047.67,COM
1987 U3,0.841,0.9986,97.13,261.34,17.41,47168,2447141.44,COM
1987 W1,0.2,1,41.62,226.53,329.29,47127,2447170.6,COM
1988 A1,0.841,0.9966,73.32,31.52,57.39,47277,2447251.61,COM
1988 F1,1.174,0.9977,62.81,288.76,326.51,47303,2447129.44,COM
1988 J1,1.174,0.9978,62.81,288.77,326.52,47335,2447205.72,COM
1988 P1,0.165,1,40.2,167.73,349.04,47392,2447422.07,COM
1989 A1,1.895,0.9986,52.41,157.09,351.56,47561,2447466.3,COM
1989 A5,2.64,0.9955,96.56,137.14,19.1,47551,2447583.58,COM
1989 R1,1.325,1,128.13,128.61,154.91,47789,2447758.79,COM
1989 T1,1.047,0.9906,46.04,8.52,68.13,47847,2447876.44,COM
1989 Y2,1.976,1,160.34,293.9,191.74,47890,2447838.19,COM
1990 N1,1.092,0.9954,143.78,330.74,180.92,48160,2448163.24,COM
1991 A2,1.434,0.9907,70.98,115.52,337.64,48277,2448236.39,COM
1991 B1,2.265,0.9936,77.29,145.13,74.37,48756,2448621.69,COM
1991 Q1,3.194,0.9945,90.51,120.46,257.23,48846,2448745.95,COM
1991 R1,6.982,0.9999,104.52,150.11,149.13,49109,2448206.42,COM
1991 T2,0.836,0.9999,113.5,49.05,145.24,48691,2448828.01,COM
1992 B1,0.5,0.9999,20.24,275.35,15.35,48662,2448701.04,COM
1992 F1,1.262,0.996,79.29,300.51,65.48,48767,2448735.19,COM
1992 J1,3.007,1,124.32,203.32,83.4,49202,2449236.04,COM
1992 Q2,2.038,0.9654,106.85,194.67,268.85,49033,2449061.61,COM
1992 U1,2.314,0.9994,65.99,55.3,54.86,49043,2449072.18,COM
1992 W1,0.665,0.993,115.14,138.4,310.17,48974,2448928.12,COM
1993 Y1,0.868,0.9936,51.59,166.36,353.47,49470,2449442.6,COM
1994 E1,1.751,0.9684,145.14,5.18,98.92,49451,2449319.96,COM
1994 E2,1.159,0.9973,131.25,166.57,57.5,49467,2449499.96,COM
1994 G1-A,1.359,0.9991,132.87,306.83,61.63,49717,2449495.03,COM
1994 J2,1.948,0.9962,135.96,51.13,192.12,49701,2449533.11,COM
1994 T1,1.845,0.9995,101.74,249.94,142.78,49682,2449628.06,COM
1995 O1,0.891,0.995,89.29,282.73,130.41,59837,2450537.13,COM
1995 Q1,0.436,0.998,147.39,178.05,331.16,50013,2449960.92,COM
1995 Q2,1.889,0.9665,168.01,300.75,314,49966,2449932.23,COM
1996 B1,1.449,0.9908,51.92,345.44,151.28,50137,2450120.41,COM
1996 B2,0.23,0.9999,124.92,188.05,130.18,50157,2450204.89,COM
1996 Q1,0.84,0.9986,73.36,31.4,57.41,50341,2450391.03,COM
1996 R1,1.899,0.9856,145.81,149.75,139.46,50354,2450324.24,COM
1996 R3,5.238,0.987,39.2,172.72,130.93,50351,2449923.31,COM
1997 BA6,3.436,0.9989,72.72,317.66,285.94,51665,2451510.08,COM
1997 G2,3.085,0.9942,69.84,55.8,239.84,50655,2450919.8,COM
1997 J1,2.302,0.991,122.97,277.08,98.95,50668,2450572.3,COM
1997 L1,4.9,0.998,72.99,233.3,346.36,50682,2450410.37,COM
1997 O1,1.372,0.9842,115.8,231.25,336.19,50716,2450642.92,COM
1997 T1,1.359,0.9985,127.99,53.7,95.97,50772,2450792.64,COM
1998 H1,1.487,0.9979,104.69,222.11,1.33,50946,2450917.93,COM
1998 K1,3.417,0.9452,35.64,18.26,165.25,50969,2451057.54,COM
1998 K2,2.323,0.9993,64.46,68.78,221.42,51087,2451057.73,COM
1998 K3,3.546,0.998,160.21,307.95,47.83,50969,2450879.68,COM
1998 K5,0.964,0.9867,9.93,211.12,99.46,51021,2451011.95,COM
1998 M1,3.118,0.9928,20.38,256.07,19.4,51077,2451114.61,COM
1998 M2,2.725,0.9978,60.18,260.88,37.24,51043,2451038.67,COM
1998 M4,2.6,0.9974,154.57,92.92,106.29,50997,2450792.62,COM
1998 M5,1.742,0.996,82.23,333.38,101.28,51144,2451203.07,COM
1998 M6,5.979,0.9989,91.54,306.6,9.13,51026,2451092.9,COM
1998 P1,1.146,0.9994,145.73,156.37,294.45,51162,2451104.34,COM
1998 Q1,1.578,0.9956,32.31,159.78,134.73,51063,2450994.01,COM
1998 T1,1.468,0.9991,170.16,153.36,226.35,51303,2451354.75,COM
1998 U5,1.236,0.988,131.76,66.65,51.13,51148,2451169.26,COM
1999 A1,0.731,0.9959,89.48,259.12,232.67,51198,2451208.16,COM
1999 F1,5.787,0.9991,92.04,20.02,255.16,52054,2452319.14,COM
1999 F2,4.718,0.9982,56.43,210.3,352.35,51450,2451049.19,COM
1999 H1,0.708,0.9997,149.35,162.65,40.7,51407,2451370.67,COM
1999 J3,0.977,0.9994,101.66,228.98,161.98,51429,2451441.67,COM
1999 J4,3.781,0.9997,118.91,264.48,95.12,51318,2451499.92,COM
1999 K2,5.29,0.9658,82.19,300.32,4.57,51353,2451279.04,COM
1999 K3,1.929,0.9917,92.27,266.91,341.15,51334,2451237.03,COM
1999 K6,2.247,0.9935,46.34,245.37,56.76,51395,2451384.17,COM
1999 K7,2.323,0.9965,135.16,50.33,104.66,51332,2451234.28,COM
1999 L2,1.905,0.9951,43.94,94.29,178.72,51351,2451395.39,COM
1999 L3,1.989,0.9744,166.1,140.16,353.3,51536,2451548.41,COM
1999 N2,0.761,0.9974,111.66,254.68,357.83,51397,2451382.55,COM
1999 T1,1.172,0.9999,79.98,182.48,344.76,51866,2451891.97,COM
2000 B2,3.776,0.9995,93.65,284.99,154.59,51584,2451492.56,COM
2000 CT54,3.156,0.9984,49.21,18.96,272.64,52409,2452079.95,COM
2000 J1,2.543,0.9543,98.79,28.44,147.22,51675,2451675.8,COM
2000 K2,2.437,0.9953,25.63,195.26,106.83,51933,2451828.87,COM
2000 Y2,2.769,0.9943,12.09,185.85,326.82,51955,2451990.31,COM
2001 A1,2.406,0.9909,59.94,339.59,107.89,51944,2451805.12,COM
2001 A2-A,0.779,0.9997,36.49,295.13,295.32,52049,2452054.02,COM
2001 A2-B,0.779,0.9993,36.48,295.12,295.33,52095,2452054.02,COM
2001 C1,5.104,0.9999,68.96,33.72,219.95,52011,2452361.91,COM
2001 HT50,2.792,0.9977,163.21,42.91,324.07,52944,2452829.52,COM
2001 K3,3.06,0.9989,52.03,289.85,3.45,52109,2452022.38,COM
2001 K5,5.184,0.9995,72.59,237.46,47.05,52670,2452559.24,COM
2001 O2,4.819,0.9978,90.93,328.72,280.89,52172,2451468.84,COM
2001 Q1,5.834,0.9659,66.95,139.26,175.46,52180,2452173.37,COM
2001 S1,3.749,0.9299,139.13,330.12,285.17,52187,2452062.86,COM
2001 U6,4.406,0.9962,107.26,115.23,85.72,52358,2452495.16,COM
2001 W1,2.399,0.9989,118.65,91.94,6.16,52247,2452268.4,COM
2001 X1,1.698,0.997,115.63,336.07,202.2,52280,2452282.59,COM
2002 B2,3.842,0.9972,152.87,54.32,257.07,52326,2452371.33,COM
2002 C2,3.254,0.9996,104.88,242.96,159.93,52417,2452375.32,COM
2002 F1,0.438,0.9995,80.88,289.03,125.9,52369,2452387.4,COM
2002 H2,1.635,0.9941,110.5,269,20.42,52416,2452356.91,COM
2002 J4,3.634,0.9999,46.53,70.88,230.71,52726,2452915.68,COM
2002 K1,3.23,0.9996,89.72,280.55,4.46,52448,2452441.95,COM
2002 K2,5.235,0.9931,130.9,294.56,26.67,52450,2452280.34,COM
2002 L9,7.033,0.9984,68.44,110.45,231.43,53275,2453101.48,COM
2002 O6,0.495,0.9986,58.62,330.95,78.75,52497,2452526.95,COM
2002 P1,6.53,0.9842,34.61,310.67,347.76,52571,2452236.67,COM
2002 Q2,1.303,0.9779,96.77,154.29,125.47,52521,2452504.28,COM
2002 Q3,1.306,0.9983,96.9,154.15,125.7,52515,2452505.52,COM
2002 Q3-A,1.305,0.9944,96.86,154.19,125.7,52526,2452505.48,COM
2002 V1,0.099,0.9999,81.71,64.09,152.17,52634,2452688.8,COM
2002 V2,6.812,0.9986,166.78,20.23,314.68,52865,2452773.19,COM
2002 VQ94,6.797,0.9663,70.52,35.02,100.05,53980,2453773.34,COM
2002 X1,2.487,0.9982,164.09,281.89,207.33,52750,2452833.39,COM
2002 X5,0.19,0.9998,94.15,119.07,187.58,52659,2452668.5,COM
2002 Y1,0.714,0.9972,103.78,166.22,128.82,52680,2452742.75,COM
2003 G2,1.553,0.9964,96.17,24.57,190.67,52744,2452759.43,COM
2003 H1,2.24,0.9992,138.67,19,196.14,52881,2453058.12,COM
2003 H2,2.179,0.9429,74.22,79.84,155.08,52781,2452777.47,COM
2003 H3,2.901,0.9998,42.81,269.42,6.48,52852,2452753.73,COM
2003 J1,5.125,0.9911,98.31,122.03,196.03,52839,2452923.1,COM
2003 K1,2.087,0.9501,129.83,250.06,314.48,52789,2452629.65,COM
2003 L2,2.865,0.9815,82.05,273.56,119.84,52899,2453023.69,COM
2003 S4-A,3.874,0.895,40.71,224.55,155.33,53285,2453156.38,COM
2003 S4-B,3.838,0.904,40.4,224.54,153.68,53285,2453148.69,COM
2003 T2,1.786,0.9997,87.53,238.53,152.23,52972,2452957.53,COM
2003 T3,1.481,0.9997,50.44,347.06,43.77,53220,2453124.5,COM
2003 V1,1.783,0.997,28.68,25.83,8.63,53018,2452709.68,COM
2004 DZ61,2.013,0.956,66.81,172.79,44.46,53085,2453152.36,COM
2004 F2,1.43,0.9906,104.96,248.27,317.14,53129,2453000.15,COM
2004 F4,0.168,0.9993,63.16,222.78,332.79,53157,2453112.59,COM
2004 G1,1.201,0.9963,114.49,228.34,110.6,53111,2453161.43,COM
2004 H1,2.081,0.9999,140.67,120.05,290.52,53114,2453019.8,COM
2004 HV60,3.074,0.9492,92.71,44.83,148.09,53125,2452990.77,COM
2004 K1,3.399,0.9981,153.75,326.92,97.75,53500,2453556.6,COM
2004 K3,1.103,0.981,111.93,275.54,60.49,53167,2453186.96,COM
2004 L1,2.047,0.9976,159.36,66.17,243.58,53390,2453459.61,COM
2004 L2,3.779,0.9952,62.52,99.18,257.31,53677,2453689.6,COM
2004 P1,6.014,0.9993,28.82,284.18,16.58,53257,2452860.24,COM
2004 Q1,2.047,0.989,56.09,22.13,32.97,53350,2453346.37,COM
2004 Q2,1.205,0.9995,38.59,93.62,19.5,53459,2453395.41,COM
2004 R2,0.113,1,63.17,182.46,5.35,53263,2453286.4,COM
2004 RG113,1.942,0.9972,21.62,8.77,125.31,53412,2453433.22,COM
2004 S1,0.682,1,114.67,19.22,92.82,53286,2453348.42,COM
2004 T3,8.864,0.9985,71.96,50.35,259.69,53414,2452744.82,COM
2004 U1,2.659,0.9992,130.62,112.55,20.13,53375,2453348.26,COM
2004 V13,0.181,1,34.81,207.7,92.69,53373,2453360.65,COM
2004 X2,3.793,0.9974,72.12,307.34,162.22,53385,2453241.83,COM
2004 YJ35,1.781,0.9999,52.48,328.25,136.9,53402,2453432.65,COM
2005 G1,4.961,0.9997,108.41,299.59,113.81,53599,2453793.77,COM
2005 H1,4.769,0.8969,81.51,71.49,95.21,53518,2453307.03,COM
2005 K2,0.545,1,102.05,45.71,216.58,53510,2453556.89,COM
2005 L2,3.194,1,152.76,155.87,294.24,53616,2453566.02,COM
2005 L3,5.594,0.9996,139.45,288.74,47.13,54729,2454481.85,COM
2005 N1,1.125,0.9985,51.18,3.24,80.05,53667,2453604.54,COM
2005 N4,2.304,0.9606,116.63,64.04,136.55,53565,2453554.1,COM
2005 O1,3.591,0.9296,155.98,304.8,324.74,53594,2453507.87,COM
2005 P3,0.526,0.9877,89.71,242.78,32.14,53618,2453592.25,COM
2005 R4,5.188,0.9975,164.01,63.77,6.89,53779,2453802.51,COM
2005 S4,5.85,0.999,107.96,318.29,31.45,54257,2454300.15,COM
2005 X1,2.862,0.9957,91.94,302.8,117.78,53741,2453557.26,COM
2005 YW,1.993,0.9895,40.54,302.21,234.63,54065,2454077.35,COM
2006 A1,0.555,0.9998,92.74,211.34,351.19,53818,2453788.68,COM
2006 A2,5.316,0.9986,148.32,233.23,141.02,53812,2453510.61,COM
2006 B1,2.998,0.9978,134.28,161.24,302.49,53854,2453694.02,COM
2006 CK10,1.752,0.9919,144.26,243.81,143.46,53880,2453919.78,COM
2006 GZ2,3.303,0.9999,168.68,355.32,191.48,53836,2453969.44,COM
2006 K4,3.189,0.9982,111.33,116.6,233.6,54255,2454433.8,COM
2006 L1,1.462,0.9973,143.24,101.76,338.41,54082,2454026.5,COM
2006 M1,3.556,0.9769,54.88,231.62,122.89,54093,2454145.42,COM
2006 O2,1.555,0.9964,43.03,283.36,19.98,53984,2454013.91,COM
2006 Q1,2.764,0.9996,59.05,199.55,344.38,54879,2454651.36,COM
2006 S5,2.63,0.973,10.13,281.56,182.11,54414,2454444.25,COM
2006 U6,2.498,0.9987,84.88,180.19,276.6,54559,2454622.98,COM
2006 V1,2.675,0.9896,31.12,335.72,253.4,54217,2454431.02,COM
2006 W3,3.126,0.9998,127.07,113.57,133.51,54901,2455019.15,COM
2006 WD4,0.591,0.999,152.7,226.79,292.69,54120,2454218.9,COM
2006 XA1,1.804,0.9928,30.63,318.66,187.42,54175,2454303.4,COM
2007 B2,2.975,0.996,27.5,14.87,206,54533,2454699.34,COM
2007 D1,8.793,0.9999,41.51,171.08,340.14,54643,2454270.37,COM
2007 D2,1.246,0.9776,178.62,297.13,65.13,54156,2454063.84,COM
2007 D3,5.209,0.992,45.92,148.43,309.09,54432,2454248.2,COM
2007 E1,1.286,0.9802,174.39,153.83,7.1,54241,2454244.33,COM
2007 E2,1.093,0.9992,95.88,232.43,340.53,54235,2454187,COM
2007 H2,1.41,0.9717,52.19,203.77,319.3,54214,2454148.55,COM
2007 K1,9.239,0.9787,108.43,294.66,51.97,54277,2454228.15,COM
2007 K5,1.149,0.9767,64.88,193.74,255.58,54266,2454222.46,COM
2007 K6,3.433,0.9846,105.06,298.08,337.14,54293,2454282.98,COM
2007 M1,7.475,0.9952,139.72,326.81,52.64,54750,2454690.23,COM
2007 M2,3.541,0.9993,80.95,357.28,220.67,54611,2454809.07,COM
2007 M3,3.469,0.9798,161.76,41.62,125.74,54330,2454348.13,COM
2007 N3,1.212,1,178.37,338.54,136.86,54805,2454842.14,COM
2007 T1,0.969,0.9998,117.64,111.43,233.76,54437,2454447.03,COM
2007 T5,4.049,0.9136,45.62,109.84,34.42,54491,2454610.74,COM
2007 VO53,4.843,0.9996,86.99,59.74,75.02,55070,2455312.93,COM
2007 Y2,4.209,0.9965,98.5,303.46,257.69,54535,2454564.9,COM
2008 E3,5.531,0.9985,105.08,105.67,218.09,54687,2454680.72,COM
2008 G1,3.99,0.9891,72.86,215.92,63.7,54594,2454843.49,COM
2008 H1,2.76,0.9466,75.49,34.63,96.04,54602,2454541.92,COM
2008 J1,1.724,0.9896,61.78,273.42,68.12,54681,2454660.76,COM
2008 J5,1.964,0.9729,93.27,287.08,313.38,54642,2454557.57,COM
2008 L3,2.011,0.9938,100.2,24.19,101.81,54643,2454578.91,COM
2008 N1,2.784,0.9971,115.52,357.47,100.81,55004,2455100.38,COM
2008 Q1,2.959,0.995,118.63,9.31,104.48,54840,2454830.63,COM
2008 Q3,1.798,0.9998,140.71,219.73,340.86,55070,2455005.59,COM
2008 X3,1.902,0.9565,66.47,337.75,140.8,54838,2454750.09,COM
2009 B2,2.328,0.9443,156.87,18.81,192.5,54901,2454897.89,COM
2009 E1,0.6,0.9851,127.45,105.96,48.96,54950,2454929.42,COM
2009 F1,1.831,0.9827,171.38,357.95,219.58,54916,2455008.39,COM
2009 F2,5.875,0.983,59.37,214.06,336.34,55386,2455149.61,COM
2009 F5,2.245,0.972,84.99,219.06,297.37,54958,2454775.33,COM
2009 F6,1.274,0.9975,85.76,278.68,129.77,54973,2454958.93,COM
2009 G1,1.129,0.9977,108.31,120.63,175.44,54960,2454938.01,COM
2009 K2,3.246,0.9978,66.82,123.81,147.69,55057,2455234.99,COM
2009 K4,1.549,0.9625,34.82,30.13,127.47,54991,2455001.88,COM
2009 O2,0.696,0.9975,107.96,310.23,133.4,55135,2455279.91,COM
2009 T1,6.22,0.9983,89.89,54.41,282.53,55288,2455112.75,COM
